initial_creation_date,last_change_date,material,material_9,material_7,ai,mat_description,mat_description_eng,plant,planner,replenishment_type,rounding_value,lot_size,minimum_lot_size,safety_time_days,safety_time_ind,leadtime_hours,planning_time_fence,planned_delivery_time,safety_stock,unit_of_quantity,length,width,height,uom_lwh,volume,unit_of_volume,gross_weight,net_weight,unit_of_weight,stacking_factor,material_group,run_out_date,proc_type,part_type,character,init_upg,init_use_type,procurement_type,storage_location,bwd_consumption_per,fwd_consumption_per,pps_planning_calendar,factory_calendar,mrp_group,mixed_mrp,strategy_group,consumption_mode,abc_indicator,spab_indicator,status,status_valid_from,bulk_material,omb_part,warehouse_number,storage_type_stock_placement,storage_type_stock_removement,release,release_date,release_type,release_action_code,active_material,plant_calendar,document_number,sid_client,snapdate,snaptimestamp,load_date,load_timestamp,_load_date
2021-07-02,2022-03-31,5A11EC1-02,5A11EC102,5A11EC1,02,ZB LI HLK HECKKLAPPE ECE LCI,ASSY LH HLK BOOT LID ECE LCI,MC10,594,ZL,0.0000,MC,0.0000,14,2,,1,1,5.0000,EA,0.0000,0.0000,0.0000,,0.0000,,1253.0000,1253.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,C,,N,,,,101,,,,,,,,,0000000885057362,MCPCLNT001,2022-04-01,2022-04-01 04:03:20.000,2022-04-01,2022-04-01 09:13:25.000,2022-04-01
2021-07-02,2022-05-05,5A11EC1-02,5A11EC102,5A11EC1,02,ZB LI HLK HECKKLAPPE ECE LCI,ASSY LH HLK BOOT LID ECE LCI,MC10,994,ZL,0.0000,MC,0.0000,14,2,,1,1,0.0000,EA,0.0000,0.0000,0.0000,,0.0000,,1253.0000,1253.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,E,,N,,,,202,,,,,,,,,0000000899698222,MCPCLNT001,2022-05-06,2022-05-06 04:02:11.000,2022-05-06,2022-05-06 09:03:28.000,2022-05-06
2021-07-02,2022-05-05,5A11EC1-02,5A11EC102,5A11EC1,02,ZB LI HLK HECKKLAPPE ECE LCI,ASSY LH HLK BOOT LID ECE LCI,MC10,994,ZL,0.0000,MC,0.0000,14,2,,1,1,0.0000,EA,0.0000,0.0000,0.0000,,0.0000,,1253.0000,1253.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,E,,N,,,,101,,,,,,,,,0000000899698222,MCPCLNT001,2022-05-06,2022-05-06 04:02:11.000,2022-05-06,2022-05-06 09:03:28.000,2022-05-06
2021-07-02,2022-05-05,5A11EC1-02,5A11EC102,5A11EC1,02,ZB LI HLK HECKKLAPPE ECE LCI,ASSY LH HLK BOOT LID ECE LCI,MC10,994,ZL,0.0000,MC,0.0000,14,2,,1,1,0.0000,EA,0.0000,0.0000,0.0000,,0.0000,,1253.0000,1253.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,E,,N,,,,105,SPH,SPH,,,,,,,0000000899698222,MCPCLNT001,2022-05-06,2022-05-06 04:02:11.000,2022-05-06,2022-05-06 09:03:28.000,2022-05-06
2021-07-02,2022-01-14,5A11EC1-02,5A11EC102,5A11EC1,02,ZB LI HLK HECKKLAPPE ECE LCI,ASSY LH HLK BOOT LID ECE LCI,MC10,530,ZL,0.0000,MC,0.0000,14,2,,1,1,0.0000,EA,0.0000,0.0000,0.0000,,0.0000,,1253.0000,1253.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,E,,N,,,,105,SPH,SPH,,,,,,,0000000861904035,MCPCLNT001,2022-01-15,2022-01-15 04:02:53.000,2022-01-15,2022-01-15 10:02:32.000,2022-01-15
2021-07-02,2022-01-14,5A11EC1-02,5A11EC102,5A11EC1,02,ZB LI HLK HECKKLAPPE ECE LCI,ASSY LH HLK BOOT LID ECE LCI,MC10,530,ZL,0.0000,MC,0.0000,14,2,,1,1,0.0000,EA,0.0000,0.0000,0.0000,,0.0000,,1253.0000,1253.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,E,,N,,,,202,,,,,,,,,0000000861904035,MCPCLNT001,2022-01-15,2022-01-15 04:02:53.000,2022-01-15,2022-01-15 10:02:32.000,2022-01-15
2021-07-02,2022-01-14,5A11EC1-02,5A11EC102,5A11EC1,02,ZB LI HLK HECKKLAPPE ECE LCI,ASSY LH HLK BOOT LID ECE LCI,MC10,530,ZL,0.0000,MC,0.0000,14,2,,1,1,0.0000,EA,0.0000,0.0000,0.0000,,0.0000,,1253.0000,1253.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,E,,N,,,,101,,,,,,,,,0000000861904035,MCPCLNT001,2022-01-15,2022-01-15 04:02:53.000,2022-01-15,2022-01-15 10:02:32.000,2022-01-15
2021-07-02,2021-11-29,5A11EC1-02,5A11EC102,5A11EC1,02,ZB LI HLK HECKKLAPPE ECE LCI,ASSY LH HLK BOOT LID ECE LCI,MC10,530,ZL,0.0000,MC,0.0000,07,2,,1,1,0.0000,EA,0.0000,0.0000,0.0000,,0.0000,,1253.0000,1253.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,E,,N,,,,105,,,,,,,,,0000000848415497,MCPCLNT001,2021-11-30,2021-11-30 04:03:12.000,2021-11-30,2021-11-30 10:03:08.000,2021-11-30
2021-07-02,2021-11-29,5A11EC1-02,5A11EC102,5A11EC1,02,ZB LI HLK HECKKLAPPE ECE LCI,ASSY LH HLK BOOT LID ECE LCI,MC10,530,ZL,0.0000,MC,0.0000,07,2,,1,1,0.0000,EA,0.0000,0.0000,0.0000,,0.0000,,1253.0000,1253.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,E,,N,,,,202,,,,,,,,,0000000848415497,MCPCLNT001,2021-11-30,2021-11-30 04:03:12.000,2021-11-30,2021-11-30 10:03:08.000,2021-11-30
2021-07-02,2021-11-29,5A11EC1-02,5A11EC102,5A11EC1,02,ZB LI HLK HECKKLAPPE ECE LCI,ASSY LH HLK BOOT LID ECE LCI,MC10,530,ZL,0.0000,MC,0.0000,07,2,,1,1,0.0000,EA,0.0000,0.0000,0.0000,,0.0000,,1253.0000,1253.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,E,,N,,,,101,,,,,,,,,0000000848415497,MCPCLNT001,2021-11-30,2021-11-30 04:03:12.000,2021-11-30,2021-11-30 10:03:08.000,2021-11-30
2021-07-02,2022-01-28,5A11EC1-02,5A11EC102,5A11EC1,02,ZB LI HLK HECKKLAPPE ECE LCI,ASSY LH HLK BOOT LID ECE LCI,MC10,530,ZL,0.0000,MC,0.0000,14,2,,1,1,0.0000,EA,0.0000,0.0000,0.0000,,0.0000,,1253.0000,1253.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,D,,N,,,,202,,,,,,,,,0000000865926438,MCPCLNT001,2022-01-29,2022-01-29 04:02:24.000,2022-01-29,2022-01-29 10:02:33.000,2022-01-29
2021-07-02,2022-01-28,5A11EC1-02,5A11EC102,5A11EC1,02,ZB LI HLK HECKKLAPPE ECE LCI,ASSY LH HLK BOOT LID ECE LCI,MC10,530,ZL,0.0000,MC,0.0000,14,2,,1,1,0.0000,EA,0.0000,0.0000,0.0000,,0.0000,,1253.0000,1253.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,D,,N,,,,105,SPH,SPH,,,,,,,0000000865926438,MCPCLNT001,2022-01-29,2022-01-29 04:02:24.000,2022-01-29,2022-01-29 10:02:33.000,2022-01-29
2021-07-02,2022-01-28,5A11EC1-02,5A11EC102,5A11EC1,02,ZB LI HLK HECKKLAPPE ECE LCI,ASSY LH HLK BOOT LID ECE LCI,MC10,530,ZL,0.0000,MC,0.0000,14,2,,1,1,0.0000,EA,0.0000,0.0000,0.0000,,0.0000,,1253.0000,1253.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,D,,N,,,,101,,,,,,,,,0000000865926438,MCPCLNT001,2022-01-29,2022-01-29 04:02:24.000,2022-01-29,2022-01-29 10:02:33.000,2022-01-29
