mandt,matnr,aline,cdate,ctime,dat00,delb0,extra,umdat,auskt,mng01,mng02,p_ingestday,p_ingesttime
1,5A11EC403,4,12/01/21,7:21:59,01/22/22,ShLine,0200210079/00001,01/28/22,15,1,5,12/03/21,19
1,5A11EC403,4,12/02/21,7:22:05,01/22/22,ShLine,0200210079/00001,01/28/22,15,1,5,12/03/21,19
1,5A11EC403,4,12/03/21,7:22:19,01/22/22,ShLine,0200210079/00001,01/28/22,15,1,5,12/05/21,9
1,5A11EC403,4,12/04/21,7:22:23,01/22/22,ShLine,0200210079/00001,01/28/22,15,1,5,12/06/21,9
1,5A11EC403,4,12/06/21,4:07:07,01/22/22,ShLine,0200210079/00001,01/28/22,15,1,5,12/08/21,9
1,5A11EC403,2,12/07/21,7:21:51,01/21/22,ShLine,0200210565/00001,01/14/22,10,3,3,12/09/21,9
1,5A11EC403,3,12/07/21,7:21:51,01/22/22,ShLine,0200210079/00001,01/21/22,10,1,4,12/09/21,9
1,5A11EC403,2,12/08/21,7:21:40,01/21/22,ShLine,0200210565/00001,01/14/22,10,3,3,12/10/21,9
1,5A11EC403,3,12/08/21,7:21:40,01/22/22,ShLine,0200210079/00001,01/21/22,10,1,4,12/10/21,9
1,5A11EC403,3,12/09/21,7:21:54,01/22/22,ShLine,0200210079/00001,01/21/22,10,1,4,12/11/21,9
1,5A11EC403,2,12/09/21,7:21:54,01/21/22,ShLine,0200210565/00001,01/14/22,10,3,3,12/11/21,9
1,5A11EC403,3,12/10/21,7:22:12,01/22/22,ShLine,0200210079/00001,01/21/22,10,1,4,12/12/21,9
1,5A11EC403,2,12/10/21,7:22:12,01/21/22,ShLine,0200210565/00001,01/14/22,10,3,3,12/12/21,9
1,5A11EC403,3,12/11/21,7:22:10,01/22/22,ShLine,0200210079/00001,01/21/22,10,1,4,12/13/21,9
1,5A11EC403,2,12/11/21,7:22:10,01/21/22,ShLine,0200210565/00001,01/14/22,10,3,3,12/13/21,9
1,5A11EC403,2,12/13/21,4:07:16,01/21/22,ShLine,0200210565/00001,01/14/22,10,3,3,12/15/21,9
1,5A11EC403,3,12/13/21,4:07:16,01/22/22,ShLine,0200210079/00001,01/21/22,10,1,4,12/15/21,9
1,5A11EC403,2,12/14/21,7:21:38,01/21/22,ShLine,0200210565/00001,01/14/22,10,3,3,12/16/21,9
1,5A11EC403,3,12/14/21,7:21:38,01/22/22,ShLine,0200210079/00001,01/21/22,10,1,4,12/16/21,9
1,5A11EC403,3,12/15/21,7:21:43,01/22/22,ShLine,0200210079/00001,01/21/22,10,1,4,12/17/21,9
1,5A11EC403,2,12/15/21,7:21:43,01/21/22,ShLine,0200210565/00001,01/14/22,10,3,3,12/17/21,9
1,5A11EC403,3,12/16/21,7:22:04,01/22/22,ShLine,0200210079/00001,01/21/22,10,1,4,12/18/21,9
1,5A11EC403,2,12/16/21,7:22:04,01/21/22,ShLine,0200210565/00001,01/14/22,10,3,3,12/18/21,9
1,5A11EC403,2,12/17/21,7:22:12,01/21/22,ShLine,0200210565/00001,01/14/22,10,3,3,12/19/21,9
1,5A11EC403,3,12/17/21,7:22:12,01/22/22,ShLine,0200210079/00001,01/21/22,10,1,4,12/19/21,9
1,5A11EC403,2,12/18/21,7:22:16,01/21/22,ShLine,0200210565/00001,01/14/22,10,3,3,12/20/21,9
1,5A11EC403,3,12/18/21,7:22:16,01/22/22,ShLine,0200210079/00001,01/21/22,10,1,4,12/20/21,9
