mandt,matnr,aline,cdate,ctime,dat00,delb0,extra,umdat,auskt,mng01,mng02,p_ingestday,p_ingesttime
1,742065710,0,12/07/21,7:17:46,12/07/21,SafeSt,SafetyStock,,,42.000-,121,12/09/21,9
1,742065710,0,12/06/21,4:02:55,12/06/21,SafeSt,SafetyStock,,,42.000-,180,12/08/21,9
1,742065710,96,03/08/22,7:17:40,03/09/22,SchAgr,0003514326/00001*,03/08/22,10,84,323,03/10/22,9
1,742065710,0,02/22/22,7:18:07,02/22/22,SafeSt,SafetyStock,,,42.000-,138,02/24/22,9
1,742065710,0,02/21/22,4:03:03,02/21/22,SafeSt,SafetyStock,,,42.000-,354,02/23/22,9
1,742065710,0,02/10/22,7:17:46,02/10/22,SafeSt,SafetyStock,,,42.000-,389,02/12/22,9
1,742065710,0,01/18/22,7:17:58,01/18/22,SafeSt,SafetyStock,,,42.000-,356,01/20/22,9
1,742065710,111,01/18/22,7:17:58,01/19/22,SchAgr,0003514326/00001*,01/18/22,10,21,268,01/20/22,9
1,742065710,362,01/18/22,7:17:58,01/21/22,SchAgr,0003514326/00001,01/20/22,30,21,251,01/20/22,9
1,742065710,0,01/19/22,7:17:59,01/19/22,SafeSt,SafetyStock,,,42.000-,278,01/21/22,9
1,742065710,0,01/06/22,7:17:47,01/06/22,SafeSt,SafetyStock,,,42.000-,383,01/08/22,9
1,742065710,0,12/28/21,7:17:35,12/28/21,SafeSt,SafetyStock,,,42.000-,232,12/30/21,9
1,742065710,0,12/27/21,4:03:06,12/27/21,SafeSt,SafetyStock,,,42.000-,232,12/29/21,9
1,742065710,0,12/22/21,7:17:55,12/22/21,SafeSt,SafetyStock,,,42.000-,291,12/24/21,9
1,742065710,0,12/21/21,7:18:00,12/21/21,SafeSt,SafetyStock,,,42.000-,361,12/23/21,9
1,742065710,0,12/18/21,7:17:54,12/18/21,SafeSt,SafetyStock,,,42.000-,187,12/20/21,9
1,742065710,0,12/10/21,7:18:14,12/10/21,SafeSt,SafetyStock,,,42.000-,127,12/12/21,9
1,742065710,0,12/15/21,7:17:40,12/15/21,SafeSt,SafetyStock,,,42.000-,100,12/17/21,9
1,742065710,49,12/15/21,7:17:40,12/16/21,SchAgr,0003514326/00001*,12/15/21,10,21,96,12/17/21,9
1,742065710,0,12/14/21,7:17:37,12/14/21,SafeSt,SafetyStock,,,42.000-,101,12/16/21,9
1,742065710,94,12/14/21,7:17:37,12/16/21,SchAgr,0003514326/00001*,12/15/21,10,21,95,12/16/21,9
1,742065710,0,12/13/21,4:03:05,12/13/21,SafeSt,SafetyStock,,,42.000-,104,12/15/21,9
