initial_creation_date,last_change_date,material,material_9,material_7,ai,mat_description,mat_description_eng,plant,planner,replenishment_type,rounding_value,lot_size,minimum_lot_size,safety_time_days,safety_time_ind,leadtime_hours,planning_time_fence,planned_delivery_time,safety_stock,unit_of_quantity,length,width,height,uom_lwh,volume,unit_of_volume,gross_weight,net_weight,unit_of_weight,stacking_factor,material_group,run_out_date,proc_type,part_type,character,init_upg,init_use_type,procurement_type,storage_location,bwd_consumption_per,fwd_consumption_per,pps_planning_calendar,factory_calendar,mrp_group,mixed_mrp,strategy_group,consumption_mode,abc_indicator,spab_indicator,status,status_valid_from,bulk_material,omb_part,warehouse_number,storage_type_stock_placement,storage_type_stock_removement,release,release_date,release_type,release_action_code,active_material,plant_calendar,document_number,sid_client,snapdate,snaptimestamp,load_date,load_timestamp,_load_date
2021-03-29,2021-07-21,9451274-07,945127407,9451274,07,RE BLENDE C-SAEULE T.H. SCHWARZ HGL.,RH FINISHER C PILLAR T H BLACK HGL,MC10,530,P1,0.0000,MC,0.0000,04,2,,8,1,0.0000,EA,0.0000,0.0000,0.0000,,0.0000,,194.0000,194.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,E,,N,,,,105,,,,,,,,,0000000810054215,MCPCLNT001,2021-07-22,2021-07-22 04:01:07.000,2021-07-22,2021-07-22 09:03:12.000,2021-07-22
2021-03-29,2021-07-21,9451274-07,945127407,9451274,07,RE BLENDE C-SAEULE T.H. SCHWARZ HGL.,RH FINISHER C PILLAR T H BLACK HGL,MC10,530,P1,0.0000,MC,0.0000,04,2,,8,1,0.0000,EA,0.0000,0.0000,0.0000,,0.0000,,194.0000,194.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,E,,N,,,,202,,,,,,,,,0000000810054215,MCPCLNT001,2021-07-22,2021-07-22 04:01:07.000,2021-07-22,2021-07-22 09:03:12.000,2021-07-22
2021-03-29,2022-01-03,9451274-07,945127407,9451274,07,RE BLENDE C-SAEULE T.H. SCHWARZ HGL.,RH FINISHER C PILLAR T H BLACK HGL,MC10,530,P1,0.0000,MC,0.0000,04,2,,8,1,0.0000,EA,0.0000,0.0000,0.0000,,0.0000,,194.0000,194.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,E,,S,,,,105,SPH,SPH,,,,,,,0000000858351097,MCPCLNT001,2022-01-04,2022-01-04 04:02:06.000,2022-01-04,2022-01-04 10:02:47.000,2022-01-04
2021-03-29,2021-07-21,9451274-07,945127407,9451274,07,RE BLENDE C-SAEULE T.H. SCHWARZ HGL.,RH FINISHER C PILLAR T H BLACK HGL,MC10,530,P1,0.0000,MC,0.0000,04,2,,8,1,0.0000,EA,0.0000,0.0000,0.0000,,0.0000,,194.0000,194.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,E,,N,,,,101,,,,,,,,,0000000810054215,MCPCLNT001,2021-07-22,2021-07-22 04:01:07.000,2021-07-22,2021-07-22 09:03:12.000,2021-07-22
2021-03-29,2022-01-03,9451274-07,945127407,9451274,07,RE BLENDE C-SAEULE T.H. SCHWARZ HGL.,RH FINISHER C PILLAR T H BLACK HGL,MC10,530,P1,0.0000,MC,0.0000,04,2,,8,1,0.0000,EA,0.0000,0.0000,0.0000,,0.0000,,194.0000,194.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,E,,S,,,,101,,,,,,,,,0000000858351097,MCPCLNT001,2022-01-04,2022-01-04 04:02:06.000,2022-01-04,2022-01-04 10:02:47.000,2022-01-04
2021-03-29,2022-01-03,9451274-07,945127407,9451274,07,RE BLENDE C-SAEULE T.H. SCHWARZ HGL.,RH FINISHER C PILLAR T H BLACK HGL,MC10,530,P1,0.0000,MC,0.0000,04,2,,8,1,0.0000,EA,0.0000,0.0000,0.0000,,0.0000,,194.0000,194.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,E,,S,,,,202,,,,,,,,,0000000858351097,MCPCLNT001,2022-01-04,2022-01-04 04:02:06.000,2022-01-04,2022-01-04 10:02:47.000,2022-01-04
2021-03-29,2021-12-27,9451274-07,945127407,9451274,07,RE BLENDE C-SAEULE T.H. SCHWARZ HGL.,RH FINISHER C PILLAR T H BLACK HGL,MC10,530,P1,0.0000,MC,0.0000,04,2,,8,1,0.0000,EA,0.0000,0.0000,0.0000,,0.0000,,194.0000,194.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,E,,S,,,,101,,,,,,,,,0000000856702339,MCPCLNT001,2021-12-28,2021-12-28 05:10:55.000,2021-12-28,2021-12-28 12:30:07.000,2021-12-28
2021-03-29,2021-12-27,9451274-07,945127407,9451274,07,RE BLENDE C-SAEULE T.H. SCHWARZ HGL.,RH FINISHER C PILLAR T H BLACK HGL,MC10,530,P1,0.0000,MC,0.0000,04,2,,8,1,0.0000,EA,0.0000,0.0000,0.0000,,0.0000,,194.0000,194.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,E,,S,,,,105,SPH,SPH,,,,,,,0000000856702339,MCPCLNT001,2021-12-28,2021-12-28 05:10:55.000,2021-12-28,2021-12-28 12:30:07.000,2021-12-28
2021-03-29,2021-12-27,9451274-07,945127407,9451274,07,RE BLENDE C-SAEULE T.H. SCHWARZ HGL.,RH FINISHER C PILLAR T H BLACK HGL,MC10,530,P1,0.0000,MC,0.0000,04,2,,8,1,0.0000,EA,0.0000,0.0000,0.0000,,0.0000,,194.0000,194.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,E,,S,,,,202,,,,,,,,,0000000856702339,MCPCLNT001,2021-12-28,2021-12-28 05:10:55.000,2021-12-28,2021-12-28 12:30:07.000,2021-12-28
2021-03-29,2022-04-19,9451274-07,945127407,9451274,07,RE BLENDE C-SAEULE T.H. SCHWARZ HGL.,RH FINISHER C PILLAR T H BLACK HGL,MC10,594,P1,0.0000,MC,0.0000,04,2,,8,1,0.0000,EA,0.0000,0.0000,0.0000,,0.0000,,194.0000,194.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,D,,S,,,,101,,,,,,,,,0000000889988455,MCPCLNT001,2022-04-19,2022-04-19 04:01:39.000,2022-04-19,2022-04-19 09:02:35.000,2022-04-19
2021-03-29,2022-04-19,9451274-07,945127407,9451274,07,RE BLENDE C-SAEULE T.H. SCHWARZ HGL.,RH FINISHER C PILLAR T H BLACK HGL,MC10,594,P1,0.0000,MC,0.0000,04,2,,8,1,0.0000,EA,0.0000,0.0000,0.0000,,0.0000,,194.0000,194.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,D,,S,,,,202,,,,,,,,,0000000889988455,MCPCLNT001,2022-04-19,2022-04-19 04:01:39.000,2022-04-19,2022-04-19 09:02:35.000,2022-04-19
2021-03-29,2022-04-19,9451274-07,945127407,9451274,07,RE BLENDE C-SAEULE T.H. SCHWARZ HGL.,RH FINISHER C PILLAR T H BLACK HGL,MC10,594,P1,0.0000,MC,0.0000,04,2,,8,1,0.0000,EA,0.0000,0.0000,0.0000,,0.0000,,194.0000,194.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,D,,S,,,,105,SPH,SPH,,,,,,,0000000889988455,MCPCLNT001,2022-04-19,2022-04-19 04:01:39.000,2022-04-19,2022-04-19 09:02:35.000,2022-04-19
2021-03-29,2022-03-25,9451274-07,945127407,9451274,07,RE BLENDE C-SAEULE T.H. SCHWARZ HGL.,RH FINISHER C PILLAR T H BLACK HGL,MC10,594,P1,0.0000,MC,0.0000,04,2,,8,1,0.0000,EA,0.0000,0.0000,0.0000,,0.0000,,202.0000,202.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,E,,S,,,,101,,,,,,,,,0000000882774447,MCPCLNT001,2022-03-25,2022-03-25 04:04:18.000,2022-03-25,2022-03-25 09:07:32.000,2022-03-25
2021-03-29,2022-03-25,9451274-07,945127407,9451274,07,RE BLENDE C-SAEULE T.H. SCHWARZ HGL.,RH FINISHER C PILLAR T H BLACK HGL,MC10,594,P1,0.0000,MC,0.0000,04,2,,8,1,0.0000,EA,0.0000,0.0000,0.0000,,0.0000,,202.0000,202.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,E,,S,,,,105,SPH,SPH,,,,,,,0000000882774447,MCPCLNT001,2022-03-25,2022-03-25 04:04:18.000,2022-03-25,2022-03-25 09:07:32.000,2022-03-25
2021-03-29,2022-03-25,9451274-07,945127407,9451274,07,RE BLENDE C-SAEULE T.H. SCHWARZ HGL.,RH FINISHER C PILLAR T H BLACK HGL,MC10,594,P1,0.0000,MC,0.0000,04,2,,8,1,0.0000,EA,0.0000,0.0000,0.0000,,0.0000,,202.0000,202.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,E,,S,,,,202,,,,,,,,,0000000882774447,MCPCLNT001,2022-03-25,2022-03-25 04:04:18.000,2022-03-25,2022-03-25 09:07:32.000,2022-03-25
2021-03-29,2022-03-18,9451274-07,945127407,9451274,07,RE BLENDE C-SAEULE T.H. SCHWARZ HGL.,RH FINISHER C PILLAR T H BLACK HGL,MC10,594,P1,0.0000,MC,0.0000,04,2,,8,1,0.0000,EA,0.0000,0.0000,0.0000,,0.0000,,202.0000,202.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,D,,S,,,,105,SPH,SPH,,,,,,,0000000880614587,MCPCLNT001,2022-03-18,2022-03-18 04:02:01.000,2022-03-18,2022-03-18 09:08:10.000,2022-03-18
2021-03-29,2022-03-18,9451274-07,945127407,9451274,07,RE BLENDE C-SAEULE T.H. SCHWARZ HGL.,RH FINISHER C PILLAR T H BLACK HGL,MC10,594,P1,0.0000,MC,0.0000,04,2,,8,1,0.0000,EA,0.0000,0.0000,0.0000,,0.0000,,202.0000,202.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,D,,S,,,,202,,,,,,,,,0000000880614587,MCPCLNT001,2022-03-18,2022-03-18 04:02:01.000,2022-03-18,2022-03-18 09:08:10.000,2022-03-18
